Embedding,Dim,F1-score,Precision,Recall,F1-score (val.),ν,γ,Kernel,tol
RoBERTa,1D,0.9989,0.9996,0.9981,0.9991,0.1,0.05,poly,0.001
RoBERTa,2D,0.9915,0.9908,0.9923,0.9922,0.1,0.05,sigmoid,0.001
RoBERTa,3D,0.9746,0.9998,0.9507,0.9759,0.05,0.005,rbf,0.001
RoBERTa,4D,0.9767,0.9998,0.9546,0.9771,0.05,0.005,rbf,0.001
DistilBERT,1D,0.9601,0.9657,0.9545,0.9589,0.05,0.005,sigmoid,0.001
DistilBERT,2D,0.9641,0.9729,0.9555,0.9631,0.05,0.001,rbf,0.001
DistilBERT,3D,0.9594,0.9646,0.9542,0.9575,0.05,0.001,rbf,0.001
DistilBERT,4D,0.9641,0.9743,0.9541,0.9641,0.05,0.05,sigmoid,0.001
FastText,1D,0.9629,0.9748,0.9513,0.9601,0.05,0.005,rbf,0.001
FastText,2D,0.964,0.9821,0.9467,0.9639,0.05,0.001,poly,0.0005
FastText,3D,0.9693,0.9823,0.9567,0.9686,0.05,0.001,poly,0.0005
FastText,4D,0.9598,0.9673,0.9525,0.9581,0.05,0.05,rbf,0.001
BERT,1D,0.9341,0.9661,0.9042,0.9333,0.1,0.01,rbf,0.001
BERT,2D,0.9096,0.9117,0.9076,0.9069,0.1,0.005,sigmoid,0.001
BERT,3D,0.9083,0.8606,0.9616,0.9074,0.1,0.001,poly,0.0005
BERT,4D,0.8874,0.8643,0.9118,0.8886,0.1,0.05,rbf,0.001
