algorithm,dataset,dimension,precision_avg,precision_stdev,recall_avg,recall_stdev,accuracy_avg,accuracy_stdev,f1_avg,f1_stdev,true_detected_avg,true_detected_stdev,true_total_avg,true_total_stdev,fake_detected_avg,fake_detected_stdev,fake_total_avg,fake_total_stdev,negative_space_coverage_avg,negative_space_coverage_stdev,time_to_build_avg,time_to_build_stdev,detectors_count_avg,detectors_count_stdev,time_to_infer_avg,time_to_infer_stdev,self_region_avg,self_region_stdev
nsgaii,bert-base-cased,1D,0.8394798136645962,0.0,0.6730469965764083,0.0,0.7721755368814193,0.0,0.7471065814475729,0.0,827,,6426,,4325,,6426,,17.979068820561224,,2422.9070378999895,0.0,2175,0.0,91.02530890000344,0.0,0.00043716499311048,0.0
nsgaii,bert-base-cased,2D,0.9294619422572179,0.0,0.44086523498288205,0.0,0.7037037037037037,0.0,0.5980578425163605,0.0,215,,6426,,2833,,6426,,239.4192029647518,,377.98021049999807,0.0,650,0.0,33.147877499999595,0.0,0.01882674572575888,0.0
nsgaii,bert-base-cased,3D,0.9896755162241888,0.0,0.20883909119203237,0.0,0.6033302209772798,0.0,0.34489848368028786,0.0,14,,6426,,1342,,6426,,2169.92749570637,,72.03395699999237,0.0,150,0.0,8.499601399991661,0.0,0.05662598200780765,0.0
nsgaii,bert-base-cased,4D,0.9818075117370892,0.0,0.26034858387799564,0.0,0.6277622159975101,0.0,0.4115621156211563,0.0,31,,6426,,1673,,6426,,9588.300498798051,,489.92708210001,0.0,625,0.0,35.124775199990836,0.0,0.06745731175825587,0.0
nsgaii,distilbert-base-cased,1D,0.9474279253815715,0.0,0.7824463118580766,0.0,0.869514472455649,0.0,0.8570698031194068,0.0,279,,6426,,5028,,6426,,23.54747510816378,,496.3132515000034,0.0,825,0.0,34.59642580000218,0.0,0.0005213978311408552,0.0
nsgaii,distilbert-base-cased,2D,0.9661204198121893,0.0,0.8165266106442577,0.0,0.8939464674758792,0.0,0.885046807792865,0.0,184,,6426,,5247,,6426,,309.63441346101104,,471.63033580000047,0.0,650,0.0,25.8728831000044,0.0,0.015639394617992766,0.0
nsgaii,distilbert-base-cased,3D,0.9771084337349397,0.0,0.5048241518829754,0.0,0.7464985994397759,0.0,0.6657090088241329,0.0,76,,6426,,3244,,6426,,1639.4481907951617,,173.92438130000664,0.0,225,0.0,11.453184199999669,0.0,0.03979020578891134,0.0
nsgaii,distilbert-base-cased,4D,0.9841761265909873,0.0,0.4452225334578276,0.0,0.7190320572673514,0.0,0.6130933247615986,0.0,46,,6426,,2861,,6426,,34063.398085177236,,246.23849889999838,0.0,325,0.0,17.49621979999938,0.0,0.04620215713589815,0.0
nsgaii,fasttext,1D,0.9366197183098591,0.0,0.7657952069716776,0.0,0.8569872393401805,0.0,0.8426369863013699,0.0,333,,6426,,4921,,6426,,22.23471745952702,,746.4579837999918,0.0,1225,0.0,48.32926679999218,0.0,0.000512362349768473,0.0
nsgaii,fasttext,2D,0.9547716944384332,0.0,0.6865857454092749,0.0,0.8270308123249299,0.0,0.7987688965329953,0.0,209,,6426,,4412,,6426,,240.65968739352851,,379.2776331000059,0.0,675,0.0,29.291647699996247,0.0,0.01650340086312427,0.0
nsgaii,roberta-base,1D,0.9878067844302016,0.0,0.983348895113601,0.0,0.985605353252412,0.0,0.9855727988770179,0.0,78,,6426,,6319,,6426,,31.118270257364202,,88.025516099995,0.0,275,0.0,8.710923699996783,0.0,0.0006209645552027615,0.0
nsgaii,roberta-base,2D,0.989552726085537,0.0,0.9433551198257081,0.0,0.966697790227202,0.0,0.9659018483110261,0.0,64,,6426,,6062,,6426,,372.62933942331654,,137.7078429000103,0.0,250,0.0,8.390133299995796,0.0,0.013018713502977826,0.0
ga,fasttext,1D,0.9066382676606318,0.0,0.7948957360722066,0.0,0.8565203859321506,0.0,0.8470978441127693,0.0,526,,6426,,5108,,6426,,23.8275620686818,,2028.066752300001,0.0,1900,0.0,71.79983340000035,0.0,0.000512362349768473,0.0
