algorithm,dataset,dimension,precision_avg,recall_avg,accuracy_avg,f1_avg,true_detected_avg,true_total_avg,fake_detected_avg,fake_total_avg,negative_space_coverage_avg,time_to_build_avg,detectors_count_avg,time_to_infer_avg,self_region_avg,stagnation
ga,bert-base-cased,1D,0.8426757510065036,0.6351540616246498,0.7582866479925303,0.7243444695860509,508,4284,2721,4284,16.16293672167376,1266.8698868999782,1450,39.9535902000207,0.0004758794251515,1
ga,bert-base-cased,2D,0.8910860012554928,0.6626984126984127,0.7908496732026143,0.7601070950468541,347,4284,2839,4284,270.56578311376575,1565.372218000004,1475,41.928929599991534,0.0197603726989235,0
ga,bert-base-cased,3D,0.9266883351390394,0.5989729225023342,0.7757936507936508,0.7276336310789735,203,4284,2566,4284,2126.5888117678974,1859.8369589000067,1475,43.6894151000015,0.0606227045976908,0
ga,bert-base-cased,4D,0.9628547579298832,0.538515406162465,0.7588702147525677,0.6907185628742514,89,4284,2307,4284,26545.264253656947,2530.1543729999976,1450,45.23250710000866,0.0676532369710783,1
ga,distilbert-base-cased,1D,0.945131375579598,0.8564425770308123,0.9033613445378152,0.8986039676708303,213,4284,3669,4284,25.280413256696196,1255.934515800007,825,20.64998790001846,0.0006243904698974,5
ga,distilbert-base-cased,2D,0.9310674964097654,0.908029878618114,0.9204014939309056,0.9194043961238478,288,4284,3890,4284,350.4518152328519,1657.8854955999996,1200,27.534864599991124,0.0171050090663792,5
ga,distilbert-base-cased,3D,0.9482439926062848,0.8382352941176471,0.8962418300653595,0.8898525585429315,196,4284,3591,4284,3772.286462393574,1914.035726400005,1475,36.83958420000272,0.0429143477141165,0
ga,distilbert-base-cased,4D,0.9589192169837332,0.8118580765639589,0.8885387488328664,0.8792820123878143,149,4284,3478,4284,41458.0743494253,2462.053681600024,1475,39.37237919998006,0.0587022310258824,0
ga,fasttext,1D,0.9016958134605192,0.7943510737628384,0.853874883286648,0.8446264581782079,371,4284,3403,4284,20.12894878100019,1165.8088308000006,1400,35.522145199996885,0.0005133940594723,3
ga,fasttext,2D,0.917150395778364,0.811391223155929,0.8690476190476191,0.8610354223433242,314,4284,3476,4284,327.31952649593586,1535.4314412999956,1450,36.97110910000629,0.0183304624517805,1
ga,fasttext,3D,0.9233812949640288,0.5992063492063492,0.7747432306255836,0.7267836919592298,213,4284,2567,4284,4088.1926259106367,1660.633051700017,1475,44.46953349999967,0.0560625399552865,0
ga,roberta-base,1D,0.98850035203004,0.9831932773109244,0.9858776844070962,0.985839672322996,49,4284,4212,4284,29.6363937456772,1411.8961129999952,175,3.6788661000027782,0.0005717375870576,5
ga,roberta-base,2D,0.975223675154852,0.992296918767507,0.9835434173669468,0.9836862200624784,108,4284,4251,4284,441.6252750791548,1774.5293370000145,350,7.147404300019844,0.0134294950033806,5
ga,roberta-base,3D,0.9941075374416892,0.9451447245564892,0.9697712418300654,0.9690080172310638,24,4284,4049,4284,13058.128052419856,5212.834014600026,225,4.998509199998807,0.0431762325222867,5
nsgaii,bert-base-cased,1D,0.8556962025316456,0.6311858076563959,0.7623716153127917,0.7264911337990327,456,4284,2704,4284,15.345801341092738,1016.6270144000008,1475,41.454631500004325,0.0004758794251515,0
nsgaii,bert-base-cased,2D,0.9044694643466392,0.6188141923436041,0.7767273576097106,0.7348579348579348,280,4284,2651,4284,231.49201596289328,1364.6557288999902,1475,43.29728719999548,0.0197603726989235,0
nsgaii,bert-base-cased,3D,0.9389600602863604,0.5816993464052288,0.7719421101774043,0.7183626405304122,162,4284,2492,4284,1657.5612395408311,1539.3755818000063,1475,44.58941300000879,0.0606227045976908,0
nsgaii,bert-base-cased,4D,0.9740389415876186,0.4554154995331466,0.7216386554621849,0.6206457770001591,52,4284,1951,4284,13178.589067688394,1628.902300000016,1475,49.04588049999438,0.0676532369710783,0
nsgaii,distilbert-base-cased,1D,0.9375159398112728,0.8580765639589168,0.9004435107376284,0.8960390006093845,245,4284,3676,4284,25.33895962094539,1242.5893779000037,1025,25.304222300008405,0.0006243904698974,5
nsgaii,distilbert-base-cased,2D,0.9340260995650072,0.9021942110177404,0.919234360410831,0.9178342436475896,273,4284,3865,4284,285.6934272318312,1415.435692900006,1475,34.14385610001045,0.0171050090663792,0
nsgaii,distilbert-base-cased,3D,0.9520435967302452,0.8155929038281979,0.8872549019607843,0.8785516721146592,176,4284,3494,4284,3129.291958364483,1749.7524869999909,1475,37.109483799984446,0.0429143477141165,0
nsgaii,distilbert-base-cased,4D,0.9652650822669104,0.7394957983193278,0.8564425770308123,0.837430610626487,114,4284,3168,4284,30939.265027573296,1986.8551848999923,1475,41.86058159999084,0.0587022310258824,0
nsgaii,fasttext,1D,0.909287841862984,0.7838468720821662,0.8528244631185807,0.8419205214993105,335,4284,3358,4284,19.79489512777485,1171.2390324000153,1425,36.52028860000428,0.0005133940594723,2
nsgaii,fasttext,2D,0.92906852248394,0.8102240896358543,0.8741830065359477,0.8655860349127182,265,4284,3471,4284,236.84546332754013,1375.2783823999926,1450,37.48783220001496,0.0183304624517805,1
nsgaii,fasttext,3D,0.927766990291262,0.55765639589169,0.7571195144724556,0.6966030033532584,186,4284,2389,4284,3321.8711765910884,1548.8173860000095,1475,45.98261219999404,0.0560625399552865,0
nsgaii,fasttext,4D,0.943058568329718,0.4059290382819794,0.6907096171802054,0.5675587467362925,105,4284,1739,4284,31492.481428545037,1846.4262321999995,1475,53.11174230003962,0.0880819260845385,0
nsgaii,roberta-base,1D,0.9868883165535004,0.9838935574229692,0.9854108309990663,0.9853886616014026,56,4284,4215,4284,29.48340838371041,1624.1646237999958,225,4.576127899985295,0.0005717375870576,5
nsgaii,roberta-base,2D,0.9873328641801548,0.9824929971988796,0.9849439775910364,0.9849069849069848,54,4284,4209,4284,354.683947414482,1604.475033499999,175,3.8018284999998286,0.0134294950033806,5
nsgaii,roberta-base,3D,0.9896931927133268,0.9638188608776844,0.976890756302521,0.9765846736045412,43,4284,4129,4284,8326.514974698879,3751.085804000031,325,7.224210899963509,0.0431762325222867,5
nsgaii,roberta-base,4D,0.9901415571284126,0.9143323996265172,0.9526143790849672,0.9507281553398058,39,4284,3917,4284,82016.80229946566,2796.5007411999977,750,16.7864622999914,0.0724839342136742,5
